OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
Adoption,Dog,Spayed Female,104.0,Pit Bull Mix,Blue/White
Return_to_owner,Dog,Spayed Female,156.0,Labrador Retriever Mix,Black/White
Adoption,Cat,Intact Male,9.0,Siamese Mix,other
Return_to_owner,Dog,Spayed Female,104.0,other,Blue/White
Return_to_owner,Dog,Neutered Male,104.0,other,Brown Brindle/White
Adoption,Dog,Neutered Male,9.0,other,Brown/Black
Euthanasia,Cat,Spayed Female,624.0,Domestic Longhair Mix,Tortie
Transfer,Cat,Neutered Male,104.0,Domestic Shorthair Mix,Blue
Euthanasia,Dog,Intact Female,36.0,Labrador Retriever Mix,Black
Euthanasia,Cat,Intact Female,520.0,Domestic Shorthair Mix,Brown Tabby/White
Adoption,Cat,Neutered Male,9.0,Domestic Medium Hair Mix,Orange Tabby
Adoption,Dog,Neutered Male,13.5,Chihuahua Shorthair Mix,other
Return_to_owner,Dog,Neutered Male,52.0,other,Blue/White
Transfer,Cat,Intact Female,104.0,Domestic Shorthair Mix,Tortie
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Blue Tabby
Adoption,Cat,Spayed Female,13.5,Siamese Mix,other
Adoption,Dog,Spayed Female,364.0,Miniature Poodle Mix,White
Adoption,Dog,Spayed Female,104.0,Dachshund Mix,Brown
Return_to_owner,Dog,Intact Female,18.0,Boxer Mix,Brown Brindle/White
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Brown Tabby
Adoption,Cat,Neutered Male,13.5,Domestic Shorthair Mix,other
Transfer,Cat,Spayed Female,104.0,other,other
Adoption,Cat,Spayed Female,27.0,Domestic Shorthair Mix,Black/White
Transfer,Cat,Intact Female,0.5714285714285714,Domestic Shorthair Mix,Torbie
Adoption,Cat,Spayed Female,13.5,Domestic Shorthair Mix,Brown Tabby
Adoption,Cat,Spayed Female,22.5,Siamese Mix,other
Transfer,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Orange Tabby/White
Transfer,Cat,Intact Female,4.5,Domestic Shorthair Mix,Brown Tabby/White
Euthanasia,Dog,Spayed Female,52.0,Pit Bull Mix,Black/White
Transfer,Dog,Intact Male,4.5,Australian Cattle Dog Mix,Brown/Black
Return_to_owner,Dog,Spayed Female,156.0,Chihuahua Shorthair Mix,Black/Tan
Adoption,Dog,Neutered Male,156.0,other,Black
Return_to_owner,Dog,Intact Male,312.0,other,Tricolor
Adoption,Dog,Intact Male,36.0,Pit Bull Mix,White/Blue
Adoption,Cat,Neutered Male,18.0,Domestic Shorthair Mix,Brown Tabby/White
Return_to_owner,Dog,Neutered Male,156.0,other,Yellow
Return_to_owner,Dog,Intact Male,4.0,Chihuahua Shorthair Mix,Tricolor
Return_to_owner,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Torbie
Transfer,Dog,Intact Male,9.0,Australian Cattle Dog Mix,other
Euthanasia,Dog,Intact Male,52.0,other,Black
Return_to_owner,Dog,Neutered Male,260.0,other,Black
Return_to_owner,Dog,Spayed Female,364.0,other,Tricolor
Adoption,Cat,Spayed Female,9.0,Domestic Longhair Mix,Blue
Return_to_owner,Dog,Neutered Male,156.0,Pit Bull Mix,Black/White
Adoption,Cat,Intact Female,4.5,Domestic Shorthair Mix,Torbie
Adoption,Dog,Neutered Male,312.0,Miniature Poodle Mix,Buff
Transfer,Dog,Intact Female,9.0,Labrador Retriever Mix,Chocolate/White
Euthanasia,Dog,Neutered Male,104.0,Pit Bull Mix,White/Brown
Transfer,Cat,Intact Female,52.0,Domestic Shorthair Mix,Black/White
Return_to_owner,Dog,Spayed Female,104.0,other,Black/Tan
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Black
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Orange Tabby
Euthanasia,Cat,Neutered Male,416.0,Siamese Mix,Lynx Point
Return_to_owner,Dog,Neutered Male,624.0,Chihuahua Shorthair Mix,White
Return_to_owner,Dog,Spayed Female,52.0,Pit Bull Mix,Chocolate/White
Return_to_owner,Dog,Spayed Female,572.0,other,Cream
Transfer,Cat,Intact Female,2.0,Domestic Shorthair Mix,Blue Tabby/White
Return_to_owner,Dog,Neutered Male,104.0,Border Collie Mix,Black/White
Transfer,Dog,Neutered Male,104.0,German Shepherd Mix,Black/Tan
Adoption,Dog,Neutered Male,104.0,Chihuahua Shorthair Mix,Black
Return_to_owner,Dog,Neutered Male,156.0,Chihuahua Shorthair Mix,Brown
Euthanasia,Cat,Intact Male,3.0,Domestic Shorthair Mix,other
Adoption,Dog,Spayed Female,45.0,Jack Russell Terrier Mix,Tricolor
Return_to_owner,Cat,Spayed Female,364.0,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,Dog,Neutered Male,364.0,Pit Bull Mix,Red/White
Return_to_owner,Dog,Intact Male,156.0,other,Black/White
Return_to_owner,Dog,Spayed Female,104.0,other,Black
Return_to_owner,Cat,Neutered Male,104.0,Domestic Medium Hair Mix,Blue Tabby
Return_to_owner,Dog,Spayed Female,52.0,Labrador Retriever Mix,Red
Adoption,Cat,Spayed Female,22.5,Domestic Shorthair Mix,Calico
Adoption,Cat,Intact Male,13.5,Domestic Longhair Mix,Brown Tabby
Adoption,Dog,Neutered Male,52.0,Chihuahua Shorthair Mix,Tan
Adoption,Cat,Spayed Female,18.0,Domestic Medium Hair Mix,other
Transfer,Cat,Intact Male,52.0,Domestic Shorthair Mix,Cream Tabby
Transfer,Dog,Neutered Male,52.0,Pit Bull Mix,Tan/White
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Black
Adoption,Dog,Spayed Female,36.0,Labrador Retriever Mix,Black
Transfer,Cat,Intact Female,52.0,Domestic Shorthair Mix,Calico
Return_to_owner,Dog,Neutered Male,260.0,Chihuahua Longhair Mix,Cream
Transfer,Dog,Intact Female,4.0,Chihuahua Shorthair Mix,White
Return_to_owner,Dog,Spayed Female,156.0,Labrador Retriever Mix,Yellow
Adoption,Dog,Spayed Female,156.0,Pit Bull Mix,Black/White
Adoption,Dog,Spayed Female,9.0,Border Collie Mix,Tricolor
Transfer,Dog,Intact Male,13.5,Pit Bull Mix,White/Brown
Return_to_owner,Dog,Intact Female,520.0,Yorkshire Terrier Mix,other
Return_to_owner,Dog,Neutered Male,260.0,American Bulldog Mix,Tan
Transfer,Cat,Intact Male,4.0,Domestic Shorthair Mix,Brown Tabby
Transfer,Dog,Neutered Male,364.0,other,Brown/White
Return_to_owner,Dog,Spayed Female,52.0,other,other
Adoption,Cat,Intact Male,13.5,Domestic Shorthair Mix,Orange Tabby
Return_to_owner,Cat,Neutered Male,208.0,Domestic Shorthair Mix,Black/White
Return_to_owner,Dog,Intact Female,156.0,Jack Russell Terrier Mix,White/Brown
Adoption,Dog,Neutered Male,4.5,Chihuahua Shorthair Mix,Brown/Black
Transfer,Cat,Intact Female,2.0,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,Dog,Spayed Female,52.0,German Shepherd Mix,Tan/Black
Transfer,Cat,Intact Female,4.0,Domestic Shorthair Mix,Calico
Return_to_owner,Cat,Spayed Female,416.0,other,Blue
Transfer,Cat,Intact Female,4.5,Domestic Shorthair Mix,other
Return_to_owner,Dog,Neutered Male,520.0,other,Black/Tan
Return_to_owner,Cat,Neutered Male,18.0,other,Cream
Return_to_owner,Dog,Neutered Male,156.0,other,Tricolor
Transfer,Dog,Intact Male,104.0,other,Black
Return_to_owner,Dog,Spayed Female,416.0,Australian Cattle Dog Mix,Sable
Adoption,Dog,Spayed Female,156.0,other,other
Adoption,Dog,Neutered Male,40.5,other,other
Adoption,Cat,Neutered Male,13.5,Domestic Shorthair Mix,Orange Tabby/White
Adoption,Dog,Neutered Male,52.0,other,Brown Brindle
Adoption,Cat,Spayed Female,18.0,Domestic Shorthair Mix,Orange Tabby
Euthanasia,Cat,Intact Male,208.0,Domestic Shorthair Mix,Orange Tabby
Return_to_owner,Dog,Spayed Female,104.0,Chihuahua Shorthair Mix,White/Tan
Transfer,Dog,Intact Male,2.0,Pit Bull Mix,Brown/White
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Cream Tabby
Adoption,Cat,Neutered Male,520.0,Domestic Medium Hair Mix,Orange Tabby/White
Transfer,Cat,Intact Female,9.0,Domestic Shorthair Mix,Black
Return_to_owner,Dog,Neutered Male,156.0,Chihuahua Shorthair Mix,other
Transfer,Cat,Neutered Male,312.0,Domestic Shorthair Mix,other
Transfer,Dog,Spayed Female,364.0,other,Brown/Black
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Calico
Adoption,Cat,Neutered Male,18.0,Domestic Shorthair Mix,Brown Tabby
Transfer,Dog,Neutered Male,260.0,Labrador Retriever Mix,Brown
Return_to_owner,Dog,Neutered Male,312.0,Chihuahua Shorthair Mix,Black/White
Euthanasia,Cat,Neutered Male,416.0,Domestic Medium Hair Mix,Black/White
Euthanasia,Dog,Neutered Male,104.0,other,Tan/White
Adoption,Cat,Neutered Male,9.0,other,Lynx Point
Adoption,Dog,Spayed Female,18.0,other,Red
Adoption,Dog,Neutered Male,9.0,other,Black
Adoption,Cat,Neutered Male,260.0,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Black/White
Return_to_owner,Cat,Neutered Male,156.0,Domestic Shorthair Mix,White/Black
Return_to_owner,Dog,Neutered Male,156.0,other,Tricolor
Adoption,Dog,Spayed Female,156.0,Chihuahua Shorthair Mix,Tan
Transfer,Cat,Intact Female,4.5,Domestic Shorthair Mix,Brown Tabby
Adoption,Dog,Spayed Female,9.0,Chihuahua Shorthair Mix,Black
Adoption,Cat,Spayed Female,104.0,Domestic Shorthair Mix,White
Return_to_owner,Cat,Neutered Male,208.0,Domestic Shorthair Mix,Blue/White
Died,Cat,Intact Male,3.0,other,Seal Point
Adoption,Dog,Neutered Male,364.0,other,other
Transfer,Cat,Intact Female,9.0,Domestic Longhair Mix,Tortie
Adoption,Dog,Spayed Female,208.0,other,other
Transfer,Cat,Neutered Male,9.0,Domestic Medium Hair Mix,Brown Tabby/White
Transfer,Dog,Intact Female,4.5,other,Black
Adoption,Cat,Neutered Male,156.0,Domestic Shorthair Mix,Black
Adoption,Cat,Spayed Female,13.5,Domestic Shorthair Mix,Brown Tabby
Euthanasia,Cat,Intact Male,4.0,Domestic Shorthair Mix,Orange Tabby
Transfer,Dog,Intact Female,4.5,German Shepherd Mix,Red
Transfer,Dog,Spayed Female,22.5,Labrador Retriever Mix,Black/White
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Tortie
Died,Cat,Intact Male,4.5,Domestic Shorthair Mix,Brown Tabby
Adoption,Dog,Spayed Female,104.0,Labrador Retriever Mix,White/Black
Adoption,Dog,Spayed Female,624.0,other,Tricolor
Return_to_owner,Dog,Neutered Male,104.0,other,Brown/Black
Return_to_owner,Dog,Intact Male,40.5,other,Fawn/White
Return_to_owner,Dog,Spayed Female,468.0,other,White/Brown
Adoption,Dog,Spayed Female,104.0,Miniature Schnauzer Mix,Buff
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Brown Tabby/White
Adoption,Dog,Spayed Female,22.5,Rottweiler Mix,Black/Brown
Adoption,Dog,Spayed Female,18.0,other,Tan/Black
Adoption,Dog,Neutered Male,9.0,Labrador Retriever Mix,Black/White
Transfer,Cat,Neutered Male,2.0,Domestic Shorthair Mix,other
Adoption,Dog,Neutered Male,9.0,other,Brown/Black
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Black
Transfer,Cat,Intact Male,3.0,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Cat,Neutered Male,18.0,Domestic Shorthair Mix,Black/White
Adoption,Dog,Neutered Male,104.0,Chihuahua Shorthair Mix,Brown/White
Transfer,Cat,Neutered Male,624.0,Domestic Shorthair Mix,Black
Return_to_owner,Dog,Spayed Female,104.0,other,Tan/White
Return_to_owner,Dog,Neutered Male,104.0,other,Brown/White
Return_to_owner,Dog,Intact Female,156.0,Pit Bull Mix,Blue/White
Adoption,Dog,Spayed Female,9.0,other,other
Euthanasia,Dog,Intact Male,156.0,Pit Bull Mix,other
Return_to_owner,Dog,Spayed Female,260.0,Labrador Retriever Mix,Black/Brown
Adoption,Dog,Neutered Male,36.0,other,Blue/White
Adoption,Cat,Neutered Male,520.0,Domestic Shorthair Mix,Black/White
Transfer,Dog,Intact Female,4.5,Miniature Poodle Mix,Black/White
Adoption,Dog,Spayed Female,52.0,Catahoula Mix,other
Adoption,Dog,Neutered Male,312.0,other,Sable
Adoption,Cat,Spayed Female,156.0,Domestic Shorthair Mix,Brown Tabby
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Brown Tabby/White
Return_to_owner,Dog,Spayed Female,27.0,other,Black/Tan
Adoption,Dog,Intact Female,52.0,Pit Bull Mix,Blue/White
Transfer,Dog,Intact Female,2.0,Border Collie Mix,Black/White
Transfer,Dog,Neutered Male,104.0,other,Black/White
Transfer,Cat,Intact Male,22.5,Domestic Shorthair Mix,Black
Transfer,Cat,Intact Female,52.0,Domestic Shorthair Mix,Tortie
Transfer,Dog,Spayed Female,52.0,other,other
Return_to_owner,Cat,Spayed Female,52.0,Domestic Shorthair Mix,Blue/White
Adoption,Dog,Neutered Male,9.0,other,Tan
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Tortie
Euthanasia,Dog,Intact Male,520.0,other,White/Tan
Adoption,Dog,Spayed Female,104.0,Boxer Mix,White/Brown Brindle
Adoption,Dog,Neutered Male,13.5,Border Collie Mix,Tan/White
Adoption,Dog,Spayed Female,52.0,Chihuahua Shorthair Mix,Tan/White
Return_to_owner,Dog,Neutered Male,364.0,other,Black
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Cream Tabby
Transfer,Dog,Intact Female,104.0,Labrador Retriever Mix,White
Return_to_owner,Dog,Neutered Male,624.0,Labrador Retriever Mix,other
Transfer,Cat,Intact Male,4.0,Domestic Shorthair Mix,White
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,other
Euthanasia,Dog,Neutered Male,52.0,Pit Bull Mix,Brown Brindle/White
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Calico
Transfer,Cat,Intact Female,4.5,Domestic Shorthair Mix,Calico
Adoption,Dog,Spayed Female,9.0,Australian Shepherd Mix,Chocolate/White
Euthanasia,Dog,Intact Male,4.5,Dachshund Mix,Tricolor
Transfer,Dog,Neutered Male,52.0,German Shepherd Mix,Brown/White
Transfer,Cat,Neutered Male,52.0,Domestic Shorthair Mix,Orange Tabby/White
Return_to_owner,Dog,Neutered Male,52.0,other,Blue/White
Adoption,Dog,Neutered Male,4.5,other,Black/Tan
Transfer,Dog,Intact Female,4.5,Chihuahua Shorthair Mix,Brown
Adoption,Cat,Neutered Male,9.0,Siamese Mix,Lynx Point
Transfer,Cat,Intact Male,52.0,Domestic Shorthair Mix,Black
Transfer,Cat,Neutered Male,104.0,Domestic Shorthair Mix,Orange Tabby
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Orange Tabby
Return_to_owner,Dog,Neutered Male,104.0,Miniature Schnauzer Mix,White
Adoption,Dog,Neutered Male,18.0,other,Brown/White
Adoption,Dog,Spayed Female,52.0,other,Black/White
Adoption,Dog,Spayed Female,104.0,Chihuahua Shorthair Mix,Brown/White
Adoption,Cat,Neutered Male,31.5,Domestic Shorthair Mix,Blue/White
Return_to_owner,Dog,Neutered Male,52.0,other,other
Adoption,Dog,Neutered Male,156.0,Miniature Schnauzer Mix,other
Transfer,Dog,Intact Male,27.0,other,Brown/White
Return_to_owner,Dog,Intact Female,156.0,Yorkshire Terrier Mix,Black/Tan
Transfer,Dog,Spayed Female,52.0,Pit Bull Mix,Brown Brindle
Adoption,Dog,Spayed Female,104.0,other,Black/Tan
Transfer,Dog,Intact Male,45.0,other,other
Transfer,Dog,Intact Female,9.0,other,Black/Brown
Adoption,Dog,Spayed Female,260.0,Pit Bull Mix,Brown/White
Adoption,Dog,Neutered Male,9.0,other,Sable
Euthanasia,Cat,Spayed Female,520.0,Domestic Shorthair Mix,Calico
Transfer,Dog,Neutered Male,104.0,Pit Bull Mix,other
Adoption,Dog,Neutered Male,18.0,Labrador Retriever Mix,Brown/Black
Adoption,Cat,Spayed Female,52.0,Domestic Shorthair Mix,White
Return_to_owner,Dog,Spayed Female,52.0,other,White
Adoption,Dog,Spayed Female,27.0,Labrador Retriever Mix,Black
Transfer,Cat,Spayed Female,156.0,Domestic Shorthair Mix,White/Blue
Adoption,Dog,Spayed Female,9.0,Chihuahua Shorthair Mix,Black
Transfer,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Black
Adoption,Cat,Neutered Male,18.0,Domestic Longhair Mix,other
Adoption,Cat,Spayed Female,52.0,Siamese Mix,Lynx Point
Euthanasia,Dog,Spayed Female,52.0,Pit Bull Mix,White/Black
Return_to_owner,Dog,Neutered Male,104.0,Dachshund Mix,Brown
Adoption,Cat,Spayed Female,27.0,Domestic Medium Hair Mix,Blue Tabby
Transfer,Cat,Intact Male,4.5,Domestic Longhair Mix,Orange Tabby
Transfer,Cat,Intact Male,4.5,Domestic Shorthair Mix,Brown Tabby
Adoption,Cat,Neutered Male,18.0,Domestic Shorthair Mix,Black/White
Adoption,Cat,Intact Female,9.0,Domestic Shorthair Mix,Black/White
Adoption,Dog,Spayed Female,36.0,other,Black/White
Euthanasia,Cat,Neutered Male,624.0,Domestic Shorthair Mix,Orange Tabby/White
Euthanasia,Dog,Spayed Female,624.0,other,other
Transfer,Cat,Intact Female,3.0,Siamese Mix,White/Black
Return_to_owner,Dog,Neutered Male,52.0,other,Black
Euthanasia,Cat,Intact Female,4.5,Domestic Shorthair Mix,Orange Tabby
Adoption,Dog,Spayed Female,260.0,other,White
Transfer,Dog,Intact Female,416.0,Chihuahua Shorthair Mix,Brown
Transfer,Dog,Spayed Female,416.0,Pit Bull Mix,Tan
Adoption,Dog,Spayed Female,52.0,other,White/Black
Transfer,Dog,Neutered Male,104.0,other,Red/White
Euthanasia,Dog,Neutered Male,52.0,German Shepherd Mix,Tan/Black
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,other
Transfer,Cat,Intact Female,4.5,Domestic Shorthair Mix,Black
Transfer,Cat,Intact Female,104.0,Domestic Shorthair Mix,Blue/White
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Blue Tabby
Adoption,Cat,Neutered Male,208.0,Domestic Shorthair Mix,Black
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Orange Tabby
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,other
Adoption,Dog,Spayed Female,260.0,other,Tricolor
Adoption,Cat,Spayed Female,22.5,Domestic Shorthair Mix,Brown Tabby/White
Adoption,Cat,Spayed Female,9.0,Domestic Longhair Mix,White/Black
Adoption,Cat,Spayed Female,9.0,Domestic Medium Hair Mix,Brown Tabby/White
Return_to_owner,Dog,Spayed Female,156.0,other,Tan/White
Return_to_owner,Dog,Neutered Male,156.0,Pit Bull Mix,Fawn/White
Transfer,Cat,Intact Female,4.5,Domestic Shorthair Mix,Black
Return_to_owner,Dog,Neutered Male,52.0,other,other
Transfer,Dog,Neutered Male,104.0,Chihuahua Shorthair Mix,Black/Tan
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Blue
Return_to_owner,Dog,Neutered Male,104.0,other,Black/Tan
Return_to_owner,Dog,Neutered Male,312.0,other,Tan/Black
Transfer,Dog,Intact Male,22.5,Chihuahua Shorthair Mix,Black/Tan
Transfer,Cat,Spayed Female,260.0,Domestic Shorthair Mix,other
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,other
Return_to_owner,Dog,Neutered Male,13.5,other,Brown/Black
Adoption,Dog,Spayed Female,9.0,other,White/Brown
Euthanasia,Cat,Neutered Male,780.0,Siamese Mix,other
Return_to_owner,Dog,Neutered Male,416.0,other,White/Tan
Transfer,Cat,Intact Female,52.0,Domestic Shorthair Mix,Calico
Adoption,Cat,Spayed Female,13.5,Domestic Shorthair Mix,Brown Tabby/White
Adoption,Cat,Neutered Male,52.0,other,Brown Tabby
Transfer,Dog,Neutered Male,104.0,Rat Terrier Mix,Black/Brown
Transfer,Cat,Intact Male,4.5,Domestic Medium Hair Mix,Blue
Return_to_owner,Dog,Intact Male,9.0,Pit Bull Mix,other
Transfer,Cat,Intact Female,3.0,Domestic Shorthair Mix,Calico
Transfer,Cat,Spayed Female,13.5,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Dog,Neutered Male,468.0,Shih Tzu Mix,other
Return_to_owner,Dog,Spayed Female,364.0,Labrador Retriever Mix,other
Return_to_owner,Dog,Spayed Female,312.0,other,Black
Transfer,Cat,Neutered Male,520.0,Domestic Longhair Mix,Black
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Torbie
Adoption,Cat,Spayed Female,416.0,Domestic Longhair Mix,Brown Tabby
Return_to_owner,Dog,Spayed Female,40.5,other,White/Brown
Euthanasia,Cat,Intact Male,156.0,Domestic Shorthair Mix,Blue Tabby/White
Adoption,Dog,Neutered Male,36.0,other,Black
Transfer,Cat,Intact Male,3.0,Domestic Shorthair Mix,Orange Tabby/White
Transfer,Dog,Neutered Male,40.5,Rottweiler Mix,Black/Tan
Transfer,Cat,Intact Male,2.0,Domestic Shorthair Mix,Blue Tabby
Adoption,Dog,Neutered Male,45.0,Australian Cattle Dog Mix,other
Euthanasia,Dog,Neutered Male,572.0,Boxer Mix,Brown Brindle/White
Adoption,Dog,Neutered Male,52.0,Chihuahua Shorthair Mix,other
Transfer,Dog,Neutered Male,260.0,Chihuahua Shorthair Mix,White/Brown
Adoption,Dog,Neutered Male,104.0,other,Brown
Transfer,Dog,Intact Female,260.0,other,Red
Return_to_owner,Cat,Neutered Male,52.0,Domestic Shorthair Mix,Orange Tabby/White
Transfer,Dog,Spayed Female,156.0,Labrador Retriever Mix,Black/White
Adoption,Dog,Spayed Female,52.0,Beagle Mix,Red/White
Transfer,Cat,Intact Male,4.5,Domestic Shorthair Mix,Orange Tabby
Adoption,Cat,Neutered Male,104.0,Domestic Shorthair Mix,White/Black
Adoption,Dog,Spayed Female,52.0,Pit Bull Mix,Black/White
Euthanasia,Dog,Neutered Male,624.0,other,Tricolor
Transfer,Dog,Intact Female,5.0,Australian Cattle Dog Mix,Tricolor
Adoption,Dog,Spayed Female,104.0,Rat Terrier Mix,White/Brown
Transfer,Dog,Spayed Female,52.0,other,Black/Brown
Adoption,Dog,Neutered Male,52.0,Chihuahua Shorthair Mix,Tan
Transfer,Dog,Intact Female,104.0,Labrador Retriever Mix,other
Adoption,Dog,Neutered Male,52.0,Miniature Poodle Mix,White/Brown
Adoption,Cat,Neutered Male,27.0,other,Chocolate
Adoption,Dog,Spayed Female,9.0,other,Brown/White
Adoption,Cat,Neutered Male,13.5,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,Dog,Intact Female,104.0,Chihuahua Shorthair Mix,Chocolate/White
Transfer,Dog,Intact Male,22.5,Pit Bull Mix,Black
Return_to_owner,Dog,Neutered Male,104.0,Pit Bull Mix,Tan/White
Transfer,Cat,Intact Male,52.0,Domestic Shorthair Mix,Orange Tabby/White
Transfer,Cat,Intact Female,104.0,Domestic Shorthair Mix,Calico
Transfer,Cat,Spayed Female,52.0,Domestic Shorthair Mix,Calico
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,White/Blue
Adoption,Cat,Spayed Female,104.0,other,Brown Tabby
Return_to_owner,Cat,Neutered Male,156.0,Domestic Shorthair Mix,Blue Tabby
Adoption,Cat,Spayed Female,27.0,Domestic Shorthair Mix,Torbie
Transfer,Dog,Intact Female,4.5,Pit Bull Mix,White/Black
Transfer,Cat,Intact Male,2.0,Domestic Medium Hair Mix,Blue
Adoption,Dog,Neutered Male,9.0,other,Black/White
Return_to_owner,Cat,Neutered Male,156.0,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Cat,Intact Male,4.5,Domestic Shorthair Mix,Brown Tabby
Adoption,Cat,Neutered Male,18.0,Domestic Shorthair Mix,Black
Transfer,Dog,Intact Female,104.0,other,Cream
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,other
Transfer,Cat,Intact Female,3.0,Domestic Shorthair Mix,Black
Transfer,Cat,Neutered Male,13.5,Domestic Shorthair Mix,Black
Transfer,Dog,Neutered Male,104.0,Pit Bull Mix,Brown Brindle/White
Euthanasia,Dog,Neutered Male,572.0,Labrador Retriever Mix,Black
Adoption,Cat,Spayed Female,13.5,Domestic Shorthair Mix,Tortie
Adoption,Dog,Spayed Female,45.0,other,other
Adoption,Dog,Neutered Male,104.0,other,Red/White
Transfer,Cat,Intact Female,9.0,Siamese Mix,other
